Logging to savedate/CartPole-v0dqn20010714/
episode_Q_value:21.3    	episode_loss:0.242   	episode_reward:12      	episodes:133	mean 100 episode reward:22.1    	step_used:12	steps:2966	
episode_Q_value:45.7    	episode_loss:0.264   	episode_reward:24      	episodes:134	mean 100 episode reward:21.8    	step_used:24	steps:2990	
episode_Q_value:51      	episode_loss:3.34    	episode_reward:24      	episodes:135	mean 100 episode reward:21.9    	step_used:24	steps:3014	
episode_Q_value:54.5    	episode_loss:1.14    	episode_reward:19      	episodes:136	mean 100 episode reward:22      	step_used:19	steps:3033	
episode_Q_value:23.2    	episode_loss:0.452   	episode_reward:9       	episodes:137	mean 100 episode reward:21.9    	step_used:9	steps:3042	
episode_Q_value:41.6    	episode_loss:0.603   	episode_reward:15      	episodes:138	mean 100 episode reward:21.7    	step_used:15	steps:3057	
episode_Q_value:79.5    	episode_loss:1.44    	episode_reward:28      	episodes:139	mean 100 episode reward:21.7    	step_used:28	steps:3085	
episode_Q_value:148     	episode_loss:2.44    	episode_reward:53      	episodes:140	mean 100 episode reward:21.7    	step_used:53	steps:3138	
episode_Q_value:168     	episode_loss:2.53    	episode_reward:59      	episodes:141	mean 100 episode reward:22.1    	step_used:59	steps:3197	
episode_Q_value:89.3    	episode_loss:1.4     	episode_reward:32      	episodes:142	mean 100 episode reward:22.6    	step_used:32	steps:3229	
episode_Q_value:33      	episode_loss:0.554   	episode_reward:13      	episodes:143	mean 100 episode reward:22.6    	step_used:13	steps:3242	
episode_Q_value:52.5    	episode_loss:0.875   	episode_reward:19      	episodes:144	mean 100 episode reward:22.6    	step_used:19	steps:3261	
episode_Q_value:84.6    	episode_loss:1.34    	episode_reward:30      	episodes:145	mean 100 episode reward:22.7    	step_used:30	steps:3291	
episode_Q_value:43      	episode_loss:0.772   	episode_reward:15      	episodes:146	mean 100 episode reward:22.5    	step_used:15	steps:3306	
episode_Q_value:42.7    	episode_loss:0.651   	episode_reward:16      	episodes:147	mean 100 episode reward:22.5    	step_used:16	steps:3322	
episode_Q_value:110     	episode_loss:1.32    	episode_reward:39      	episodes:148	mean 100 episode reward:22.5    	step_used:39	steps:3361	
episode_Q_value:57.5    	episode_loss:0.686   	episode_reward:21      	episodes:149	mean 100 episode reward:22.6    	step_used:21	steps:3382	
episode_Q_value:109     	episode_loss:1.34    	episode_reward:38      	episodes:150	mean 100 episode reward:22.7    	step_used:38	steps:3420	
episode_Q_value:186     	episode_loss:2.29    	episode_reward:66      	episodes:151	mean 100 episode reward:22.3    	step_used:66	steps:3486	
episode_Q_value:52.7    	episode_loss:0.783   	episode_reward:19      	episodes:152	mean 100 episode reward:22.7    	step_used:19	steps:3505	
episode_Q_value:72.4    	episode_loss:1       	episode_reward:26      	episodes:153	mean 100 episode reward:22.8    	step_used:26	steps:3531	
episode_Q_value:47.5    	episode_loss:0.709   	episode_reward:18      	episodes:154	mean 100 episode reward:22.9    	step_used:18	steps:3549	
episode_Q_value:50      	episode_loss:0.498   	episode_reward:18      	episodes:155	mean 100 episode reward:22.9    	step_used:18	steps:3567	
episode_Q_value:51.6    	episode_loss:0.723   	episode_reward:19      	episodes:156	mean 100 episode reward:22.9    	step_used:19	steps:3586	
episode_Q_value:37.4    	episode_loss:0.673   	episode_reward:14      	episodes:157	mean 100 episode reward:22.8    	step_used:14	steps:3600	
episode_Q_value:166     	episode_loss:2.41    	episode_reward:58      	episodes:158	mean 100 episode reward:22.8    	step_used:58	steps:3658	
episode_Q_value:44.7    	episode_loss:0.746   	episode_reward:17      	episodes:159	mean 100 episode reward:23.3    	step_used:17	steps:3675	
episode_Q_value:49.4    	episode_loss:0.716   	episode_reward:18      	episodes:160	mean 100 episode reward:23.2    	step_used:18	steps:3693	
episode_Q_value:45.2    	episode_loss:0.667   	episode_reward:17      	episodes:161	mean 100 episode reward:23.3    	step_used:17	steps:3710	
episode_Q_value:41.6    	episode_loss:0.427   	episode_reward:15      	episodes:162	mean 100 episode reward:23.1    	step_used:15	steps:3725	
episode_Q_value:57.5    	episode_loss:0.645   	episode_reward:21      	episodes:163	mean 100 episode reward:23.2    	step_used:21	steps:3746	
episode_Q_value:40.5    	episode_loss:0.647   	episode_reward:15      	episodes:164	mean 100 episode reward:23.2    	step_used:15	steps:3761	
episode_Q_value:52.9    	episode_loss:0.582   	episode_reward:19      	episodes:165	mean 100 episode reward:23.2    	step_used:19	steps:3780	
episode_Q_value:69.3    	episode_loss:1.02    	episode_reward:25      	episodes:166	mean 100 episode reward:23.3    	step_used:25	steps:3805	
episode_Q_value:58.2    	episode_loss:0.779   	episode_reward:21      	episodes:167	mean 100 episode reward:23.3    	step_used:21	steps:3826	
episode_Q_value:60.9    	episode_loss:0.727   	episode_reward:22      	episodes:168	mean 100 episode reward:23.1    	step_used:22	steps:3848	
episode_Q_value:58      	episode_loss:0.76    	episode_reward:21      	episodes:169	mean 100 episode reward:23.2    	step_used:21	steps:3869	
episode_Q_value:30.3    	episode_loss:0.389   	episode_reward:12      	episodes:170	mean 100 episode reward:23.1    	step_used:12	steps:3881	
episode_Q_value:40.5    	episode_loss:0.606   	episode_reward:15      	episodes:171	mean 100 episode reward:23.1    	step_used:15	steps:3896	
episode_Q_value:43.3    	episode_loss:0.749   	episode_reward:16      	episodes:172	mean 100 episode reward:23      	step_used:16	steps:3912	
episode_Q_value:107     	episode_loss:1.25    	episode_reward:38      	episodes:173	mean 100 episode reward:23      	step_used:38	steps:3950	
episode_Q_value:54.4    	episode_loss:0.801   	episode_reward:20      	episodes:174	mean 100 episode reward:23.1    	step_used:20	steps:3970	
episode_Q_value:48.3    	episode_loss:0.435   	episode_reward:18      	episodes:175	mean 100 episode reward:23.2    	step_used:18	steps:3988	
episode_Q_value:70.1    	episode_loss:4.17    	episode_reward:24      	episodes:176	mean 100 episode reward:23.1    	step_used:24	steps:4012	
episode_Q_value:105     	episode_loss:2.3     	episode_reward:28      	episodes:177	mean 100 episode reward:23.2    	step_used:28	steps:4040	
episode_Q_value:92.3    	episode_loss:1.48    	episode_reward:25      	episodes:178	mean 100 episode reward:23.3    	step_used:25	steps:4065	
episode_Q_value:227     	episode_loss:3.5     	episode_reward:60      	episodes:179	mean 100 episode reward:23.4    	step_used:60	steps:4125	
episode_Q_value:76.6    	episode_loss:1.04    	episode_reward:21      	episodes:180	mean 100 episode reward:23.8    	step_used:21	steps:4146	
episode_Q_value:73.6    	episode_loss:0.938   	episode_reward:20      	episodes:181	mean 100 episode reward:23.9    	step_used:20	steps:4166	
episode_Q_value:53      	episode_loss:0.996   	episode_reward:15      	episodes:182	mean 100 episode reward:23.9    	step_used:15	steps:4181	
episode_Q_value:57.6    	episode_loss:1.11    	episode_reward:16      	episodes:183	mean 100 episode reward:23.9    	step_used:16	steps:4197	
episode_Q_value:44.4    	episode_loss:0.529   	episode_reward:13      	episodes:184	mean 100 episode reward:23.8    	step_used:13	steps:4210	
episode_Q_value:92.5    	episode_loss:1.17    	episode_reward:25      	episodes:185	mean 100 episode reward:23.8    	step_used:25	steps:4235	
episode_Q_value:37.1    	episode_loss:0.562   	episode_reward:11      	episodes:186	mean 100 episode reward:23.9    	step_used:11	steps:4246	
episode_Q_value:48.7    	episode_loss:0.907   	episode_reward:14      	episodes:187	mean 100 episode reward:23.9    	step_used:14	steps:4260	
episode_Q_value:95.2    	episode_loss:1.27    	episode_reward:26      	episodes:188	mean 100 episode reward:23.8    	step_used:26	steps:4286	
episode_Q_value:52.9    	episode_loss:0.719   	episode_reward:15      	episodes:189	mean 100 episode reward:23.9    	step_used:15	steps:4301	
episode_Q_value:185     	episode_loss:2.84    	episode_reward:50      	episodes:190	mean 100 episode reward:23.9    	step_used:50	steps:4351	
episode_Q_value:73      	episode_loss:0.971   	episode_reward:20      	episodes:191	mean 100 episode reward:24.1    	step_used:20	steps:4371	
episode_Q_value:69.3    	episode_loss:1.19    	episode_reward:19      	episodes:192	mean 100 episode reward:24.1    	step_used:19	steps:4390	
episode_Q_value:44.9    	episode_loss:0.742   	episode_reward:13      	episodes:193	mean 100 episode reward:24.1    	step_used:13	steps:4403	
episode_Q_value:48.7    	episode_loss:0.844   	episode_reward:14      	episodes:194	mean 100 episode reward:24.1    	step_used:14	steps:4417	
episode_Q_value:35.3    	episode_loss:0.521   	episode_reward:10      	episodes:195	mean 100 episode reward:24.1    	step_used:10	steps:4427	
episode_Q_value:76.5    	episode_loss:1.09    	episode_reward:21      	episodes:196	mean 100 episode reward:24      	step_used:21	steps:4448	
episode_Q_value:86      	episode_loss:0.935   	episode_reward:23      	episodes:197	mean 100 episode reward:23.9    	step_used:23	steps:4471	
episode_Q_value:61.4    	episode_loss:0.757   	episode_reward:17      	episodes:198	mean 100 episode reward:24      	step_used:17	steps:4488	
episode_Q_value:72.3    	episode_loss:0.905   	episode_reward:20      	episodes:199	mean 100 episode reward:23.9    	step_used:20	steps:4508	
