Logging to savedate/CartPole-v0dqn2001071457/
episode_Q_value:82      	episode_loss:4.53    	episode_reward:42      	episodes:123	mean 100 episode reward:23      	step_used:42	steps:3016	
episode_Q_value:48.3    	episode_loss:1.86    	episode_reward:21      	episodes:124	mean 100 episode reward:23.2    	step_used:21	steps:3037	
episode_Q_value:31.4    	episode_loss:0.545   	episode_reward:12      	episodes:125	mean 100 episode reward:23.3    	step_used:12	steps:3049	
episode_Q_value:61.9    	episode_loss:0.822   	episode_reward:23      	episodes:126	mean 100 episode reward:23.2    	step_used:23	steps:3072	
episode_Q_value:46.8    	episode_loss:0.664   	episode_reward:18      	episodes:127	mean 100 episode reward:22.9    	step_used:18	steps:3090	
episode_Q_value:44.6    	episode_loss:0.464   	episode_reward:17      	episodes:128	mean 100 episode reward:22.9    	step_used:17	steps:3107	
episode_Q_value:34.3    	episode_loss:0.495   	episode_reward:13      	episodes:129	mean 100 episode reward:22.9    	step_used:13	steps:3120	
episode_Q_value:56.2    	episode_loss:0.854   	episode_reward:21      	episodes:130	mean 100 episode reward:22.9    	step_used:21	steps:3141	
episode_Q_value:84      	episode_loss:1.52    	episode_reward:32      	episodes:131	mean 100 episode reward:22.6    	step_used:32	steps:3173	
episode_Q_value:36.3    	episode_loss:0.498   	episode_reward:14      	episodes:132	mean 100 episode reward:22.8    	step_used:14	steps:3187	
episode_Q_value:27.6    	episode_loss:0.386   	episode_reward:11      	episodes:133	mean 100 episode reward:22.7    	step_used:11	steps:3198	
episode_Q_value:48.2    	episode_loss:0.548   	episode_reward:18      	episodes:134	mean 100 episode reward:22.6    	step_used:18	steps:3216	
episode_Q_value:64.5    	episode_loss:1.06    	episode_reward:24      	episodes:135	mean 100 episode reward:22.4    	step_used:24	steps:3240	
episode_Q_value:72.1    	episode_loss:1.25    	episode_reward:27      	episodes:136	mean 100 episode reward:22.3    	step_used:27	steps:3267	
episode_Q_value:69.9    	episode_loss:0.839   	episode_reward:26      	episodes:137	mean 100 episode reward:22.3    	step_used:26	steps:3293	
episode_Q_value:167     	episode_loss:2.42    	episode_reward:62      	episodes:138	mean 100 episode reward:22.3    	step_used:62	steps:3355	
episode_Q_value:53.5    	episode_loss:0.689   	episode_reward:20      	episodes:139	mean 100 episode reward:22.6    	step_used:20	steps:3375	
episode_Q_value:59.1    	episode_loss:0.713   	episode_reward:22      	episodes:140	mean 100 episode reward:22.3    	step_used:22	steps:3397	
episode_Q_value:65.1    	episode_loss:0.86    	episode_reward:24      	episodes:141	mean 100 episode reward:22.4    	step_used:24	steps:3421	
episode_Q_value:39.6    	episode_loss:0.75    	episode_reward:15      	episodes:142	mean 100 episode reward:22.2    	step_used:15	steps:3436	
episode_Q_value:39.6    	episode_loss:0.386   	episode_reward:15      	episodes:143	mean 100 episode reward:22.2    	step_used:15	steps:3451	
episode_Q_value:45.2    	episode_loss:0.775   	episode_reward:17      	episodes:144	mean 100 episode reward:22.2    	step_used:17	steps:3468	
episode_Q_value:114     	episode_loss:1.66    	episode_reward:43      	episodes:145	mean 100 episode reward:22.2    	step_used:43	steps:3511	
episode_Q_value:89.6    	episode_loss:1.51    	episode_reward:34      	episodes:146	mean 100 episode reward:22      	step_used:34	steps:3545	
episode_Q_value:53.2    	episode_loss:0.705   	episode_reward:20      	episodes:147	mean 100 episode reward:22.2    	step_used:20	steps:3565	
episode_Q_value:45      	episode_loss:0.832   	episode_reward:17      	episodes:148	mean 100 episode reward:22.2    	step_used:17	steps:3582	
episode_Q_value:39.9    	episode_loss:0.568   	episode_reward:16      	episodes:149	mean 100 episode reward:22.3    	step_used:16	steps:3598	
episode_Q_value:24.1    	episode_loss:0.323   	episode_reward:10      	episodes:150	mean 100 episode reward:22.2    	step_used:10	steps:3608	
episode_Q_value:54.7    	episode_loss:0.763   	episode_reward:21      	episodes:151	mean 100 episode reward:22      	step_used:21	steps:3629	
episode_Q_value:30.8    	episode_loss:0.571   	episode_reward:12      	episodes:152	mean 100 episode reward:22.1    	step_used:12	steps:3641	
episode_Q_value:36.7    	episode_loss:0.734   	episode_reward:14      	episodes:153	mean 100 episode reward:22      	step_used:14	steps:3655	
episode_Q_value:39.4    	episode_loss:0.417   	episode_reward:15      	episodes:154	mean 100 episode reward:21.9    	step_used:15	steps:3670	
episode_Q_value:38.7    	episode_loss:0.608   	episode_reward:15      	episodes:155	mean 100 episode reward:21.9    	step_used:15	steps:3685	
episode_Q_value:90.8    	episode_loss:1.7     	episode_reward:34      	episodes:156	mean 100 episode reward:21.9    	step_used:34	steps:3719	
episode_Q_value:84.1    	episode_loss:1.3     	episode_reward:31      	episodes:157	mean 100 episode reward:22.1    	step_used:31	steps:3750	
episode_Q_value:60.9    	episode_loss:0.833   	episode_reward:23      	episodes:158	mean 100 episode reward:22.2    	step_used:23	steps:3773	
episode_Q_value:36.5    	episode_loss:0.486   	episode_reward:14      	episodes:159	mean 100 episode reward:22.2    	step_used:14	steps:3787	
episode_Q_value:60.9    	episode_loss:0.925   	episode_reward:23      	episodes:160	mean 100 episode reward:22.2    	step_used:23	steps:3810	
episode_Q_value:28.3    	episode_loss:0.505   	episode_reward:11      	episodes:161	mean 100 episode reward:22      	step_used:11	steps:3821	
episode_Q_value:72.3    	episode_loss:1.21    	episode_reward:27      	episodes:162	mean 100 episode reward:22      	step_used:27	steps:3848	
episode_Q_value:55.4    	episode_loss:1.05    	episode_reward:21      	episodes:163	mean 100 episode reward:22      	step_used:21	steps:3869	
episode_Q_value:159     	episode_loss:2.21    	episode_reward:59      	episodes:164	mean 100 episode reward:22.1    	step_used:59	steps:3928	
episode_Q_value:44.6    	episode_loss:0.885   	episode_reward:17      	episodes:165	mean 100 episode reward:22.6    	step_used:17	steps:3945	
episode_Q_value:64      	episode_loss:0.694   	episode_reward:24      	episodes:166	mean 100 episode reward:22.6    	step_used:24	steps:3969	
episode_Q_value:55.3    	episode_loss:0.717   	episode_reward:21      	episodes:167	mean 100 episode reward:22.2    	step_used:21	steps:3990	
episode_Q_value:27.1    	episode_loss:0.486   	episode_reward:11      	episodes:168	mean 100 episode reward:22.3    	step_used:11	steps:4001	
episode_Q_value:77.5    	episode_loss:4.58    	episode_reward:26      	episodes:169	mean 100 episode reward:22      	step_used:26	steps:4027	
episode_Q_value:71.4    	episode_loss:1.72    	episode_reward:21      	episodes:170	mean 100 episode reward:22.1    	step_used:21	steps:4048	
episode_Q_value:39.3    	episode_loss:0.787   	episode_reward:12      	episodes:171	mean 100 episode reward:22.2    	step_used:12	steps:4060	
episode_Q_value:34.5    	episode_loss:0.873   	episode_reward:11      	episodes:172	mean 100 episode reward:22.2    	step_used:11	steps:4071	
episode_Q_value:60.3    	episode_loss:1.2     	episode_reward:18      	episodes:173	mean 100 episode reward:22.3    	step_used:18	steps:4089	
episode_Q_value:73.6    	episode_loss:1.44    	episode_reward:22      	episodes:174	mean 100 episode reward:22.2    	step_used:22	steps:4111	
episode_Q_value:57.6    	episode_loss:1.09    	episode_reward:17      	episodes:175	mean 100 episode reward:22.3    	step_used:17	steps:4128	
episode_Q_value:278     	episode_loss:5.3     	episode_reward:82      	episodes:176	mean 100 episode reward:22.4    	step_used:82	steps:4210	
episode_Q_value:116     	episode_loss:2.12    	episode_reward:34      	episodes:177	mean 100 episode reward:22.9    	step_used:34	steps:4244	
episode_Q_value:99.6    	episode_loss:1.57    	episode_reward:29      	episodes:178	mean 100 episode reward:23.1    	step_used:29	steps:4273	
episode_Q_value:75.3    	episode_loss:1.3     	episode_reward:22      	episodes:179	mean 100 episode reward:22.9    	step_used:22	steps:4295	
episode_Q_value:110     	episode_loss:2.09    	episode_reward:32      	episodes:180	mean 100 episode reward:23      	step_used:32	steps:4327	
episode_Q_value:292     	episode_loss:5.63    	episode_reward:86      	episodes:181	mean 100 episode reward:23.2    	step_used:86	steps:4413	
episode_Q_value:55.4    	episode_loss:0.873   	episode_reward:17      	episodes:182	mean 100 episode reward:23.9    	step_used:17	steps:4430	
episode_Q_value:58.5    	episode_loss:1.28    	episode_reward:18      	episodes:183	mean 100 episode reward:23.8    	step_used:18	steps:4448	
episode_Q_value:34.4    	episode_loss:0.834   	episode_reward:11      	episodes:184	mean 100 episode reward:23.7    	step_used:11	steps:4459	
episode_Q_value:102     	episode_loss:1.69    	episode_reward:30      	episodes:185	mean 100 episode reward:23.5    	step_used:30	steps:4489	
episode_Q_value:92.7    	episode_loss:1.8     	episode_reward:27      	episodes:186	mean 100 episode reward:23.7    	step_used:27	steps:4516	
episode_Q_value:80.8    	episode_loss:1.63    	episode_reward:24      	episodes:187	mean 100 episode reward:23.8    	step_used:24	steps:4540	
episode_Q_value:56      	episode_loss:0.962   	episode_reward:17      	episodes:188	mean 100 episode reward:23.7    	step_used:17	steps:4557	
episode_Q_value:28.7    	episode_loss:0.601   	episode_reward:10      	episodes:189	mean 100 episode reward:23.7    	step_used:10	steps:4567	
episode_Q_value:75.1    	episode_loss:1.49    	episode_reward:22      	episodes:190	mean 100 episode reward:23.5    	step_used:22	steps:4589	
episode_Q_value:145     	episode_loss:2.58    	episode_reward:42      	episodes:191	mean 100 episode reward:23.6    	step_used:42	steps:4631	
episode_Q_value:239     	episode_loss:4.73    	episode_reward:70      	episodes:192	mean 100 episode reward:23.7    	step_used:70	steps:4701	
episode_Q_value:78.6    	episode_loss:1.37    	episode_reward:23      	episodes:193	mean 100 episode reward:24.2    	step_used:23	steps:4724	
episode_Q_value:210     	episode_loss:2.99    	episode_reward:61      	episodes:194	mean 100 episode reward:24.3    	step_used:61	steps:4785	
episode_Q_value:35.2    	episode_loss:0.852   	episode_reward:11      	episodes:195	mean 100 episode reward:24.5    	step_used:11	steps:4796	
episode_Q_value:63.6    	episode_loss:1.12    	episode_reward:19      	episodes:196	mean 100 episode reward:24.4    	step_used:19	steps:4815	
episode_Q_value:33.1    	episode_loss:1.02    	episode_reward:11      	episodes:197	mean 100 episode reward:24.4    	step_used:11	steps:4826	
episode_Q_value:128     	episode_loss:2.04    	episode_reward:37      	episodes:198	mean 100 episode reward:24.4    	step_used:37	steps:4863	
episode_Q_value:39.6    	episode_loss:0.822   	episode_reward:12      	episodes:199	mean 100 episode reward:24.3    	step_used:12	steps:4875	
episode_Q_value:67.6    	episode_loss:0.929   	episode_reward:20      	episodes:200	mean 100 episode reward:24.2    	step_used:20	steps:4895	
episode_Q_value:57.6    	episode_loss:0.806   	episode_reward:17      	episodes:201	mean 100 episode reward:24.2    	step_used:17	steps:4912	
episode_Q_value:63.2    	episode_loss:0.806   	episode_reward:19      	episodes:202	mean 100 episode reward:24.3    	step_used:19	steps:4931	
episode_Q_value:66.4    	episode_loss:1.29    	episode_reward:20      	episodes:203	mean 100 episode reward:24.3    	step_used:20	steps:4951	
episode_Q_value:41.8    	episode_loss:0.72    	episode_reward:13      	episodes:204	mean 100 episode reward:24.4    	step_used:13	steps:4964	
episode_Q_value:74.1    	episode_loss:1.21    	episode_reward:22      	episodes:205	mean 100 episode reward:24.2    	step_used:22	steps:4986	
episode_Q_value:57.1    	episode_loss:1.58    	episode_reward:17      	episodes:206	mean 100 episode reward:24.2    	step_used:17	steps:5003	
episode_Q_value:67.4    	episode_loss:3.74    	episode_reward:20      	episodes:207	mean 100 episode reward:23.8    	step_used:20	steps:5023	
episode_Q_value:51.1    	episode_loss:1.44    	episode_reward:13      	episodes:208	mean 100 episode reward:23.8    	step_used:13	steps:5036	
episode_Q_value:46.7    	episode_loss:1.06    	episode_reward:12      	episodes:209	mean 100 episode reward:23.7    	step_used:12	steps:5048	
episode_Q_value:115     	episode_loss:2.18    	episode_reward:29      	episodes:210	mean 100 episode reward:23.7    	step_used:29	steps:5077	
episode_Q_value:46.7    	episode_loss:1.35    	episode_reward:12      	episodes:211	mean 100 episode reward:23.6    	step_used:12	steps:5089	
episode_Q_value:57.8    	episode_loss:1.09    	episode_reward:15      	episodes:212	mean 100 episode reward:23.5    	step_used:15	steps:5104	
episode_Q_value:99.7    	episode_loss:1.81    	episode_reward:25      	episodes:213	mean 100 episode reward:23.2    	step_used:25	steps:5129	
episode_Q_value:137     	episode_loss:3.24    	episode_reward:34      	episodes:214	mean 100 episode reward:23.2    	step_used:34	steps:5163	
episode_Q_value:61.4    	episode_loss:1.96    	episode_reward:16      	episodes:215	mean 100 episode reward:23.5    	step_used:16	steps:5179	
episode_Q_value:79.8    	episode_loss:1.77    	episode_reward:20      	episodes:216	mean 100 episode reward:23.4    	step_used:20	steps:5199	
episode_Q_value:165     	episode_loss:3.64    	episode_reward:40      	episodes:217	mean 100 episode reward:23.5    	step_used:40	steps:5239	
episode_Q_value:173     	episode_loss:3.8     	episode_reward:42      	episodes:218	mean 100 episode reward:23.7    	step_used:42	steps:5281	
episode_Q_value:47.8    	episode_loss:0.969   	episode_reward:13      	episodes:219	mean 100 episode reward:23.9    	step_used:13	steps:5294	
episode_Q_value:125     	episode_loss:2.75    	episode_reward:31      	episodes:220	mean 100 episode reward:23.7    	step_used:31	steps:5325	
episode_Q_value:70      	episode_loss:1.34    	episode_reward:18      	episodes:221	mean 100 episode reward:23.8    	step_used:18	steps:5343	
episode_Q_value:85.5    	episode_loss:1.49    	episode_reward:21      	episodes:222	mean 100 episode reward:23.8    	step_used:21	steps:5364	
episode_Q_value:75.3    	episode_loss:1.33    	episode_reward:19      	episodes:223	mean 100 episode reward:23.9    	step_used:19	steps:5383	
episode_Q_value:49.6    	episode_loss:1.07    	episode_reward:13      	episodes:224	mean 100 episode reward:23.7    	step_used:13	steps:5396	
episode_Q_value:58.6    	episode_loss:1.39    	episode_reward:15      	episodes:225	mean 100 episode reward:23.6    	step_used:15	steps:5411	
episode_Q_value:83.6    	episode_loss:1.5     	episode_reward:21      	episodes:226	mean 100 episode reward:23.6    	step_used:21	steps:5432	
episode_Q_value:59      	episode_loss:1.11    	episode_reward:15      	episodes:227	mean 100 episode reward:23.6    	step_used:15	steps:5447	
episode_Q_value:123     	episode_loss:2.49    	episode_reward:30      	episodes:228	mean 100 episode reward:23.6    	step_used:30	steps:5477	
episode_Q_value:67.8    	episode_loss:1.79    	episode_reward:17      	episodes:229	mean 100 episode reward:23.7    	step_used:17	steps:5494	
episode_Q_value:159     	episode_loss:3.58    	episode_reward:39      	episodes:230	mean 100 episode reward:23.7    	step_used:39	steps:5533	
episode_Q_value:50.1    	episode_loss:1.03    	episode_reward:13      	episodes:231	mean 100 episode reward:23.9    	step_used:13	steps:5546	
episode_Q_value:93.6    	episode_loss:2.03    	episode_reward:23      	episodes:232	mean 100 episode reward:23.7    	step_used:23	steps:5569	
episode_Q_value:92      	episode_loss:1.79    	episode_reward:23      	episodes:233	mean 100 episode reward:23.8    	step_used:23	steps:5592	
episode_Q_value:188     	episode_loss:3.76    	episode_reward:46      	episodes:234	mean 100 episode reward:23.9    	step_used:46	steps:5638	
episode_Q_value:95.3    	episode_loss:2.58    	episode_reward:24      	episodes:235	mean 100 episode reward:24.2    	step_used:24	steps:5662	
episode_Q_value:202     	episode_loss:3.79    	episode_reward:49      	episodes:236	mean 100 episode reward:24.2    	step_used:49	steps:5711	
episode_Q_value:55.5    	episode_loss:0.827   	episode_reward:14      	episodes:237	mean 100 episode reward:24.4    	step_used:14	steps:5725	
episode_Q_value:253     	episode_loss:5.62    	episode_reward:62      	episodes:238	mean 100 episode reward:24.3    	step_used:62	steps:5787	
episode_Q_value:83.8    	episode_loss:1.92    	episode_reward:21      	episodes:239	mean 100 episode reward:24.3    	step_used:21	steps:5808	
episode_Q_value:67.5    	episode_loss:1.84    	episode_reward:18      	episodes:240	mean 100 episode reward:24.3    	step_used:18	steps:5826	
episode_Q_value:139     	episode_loss:2.93    	episode_reward:34      	episodes:241	mean 100 episode reward:24.3    	step_used:34	steps:5860	
episode_Q_value:46.7    	episode_loss:1.08    	episode_reward:12      	episodes:242	mean 100 episode reward:24.4    	step_used:12	steps:5872	
episode_Q_value:135     	episode_loss:2.52    	episode_reward:34      	episodes:243	mean 100 episode reward:24.4    	step_used:34	steps:5906	
